Script,Last Status,Runs,Fails,First Run,Last Run,Avg Time(Success)
Sandbox,Success,4,2,2024-09-03 13:44:54 -0400,2024-09-03 14:36:28 -0400,0:00:15
NewFunctions,Failure,23,22,2024-08-26 15:36:04 -0400,2024-08-28 13:50:24 -0400,0:00:00
NewFormats,Success,10,7,2025-05-06 08:41:14 -0400,2025-05-06 09:05:43 -0400,0:00:00
QuestionFromSteve,Success,2,0,2024-08-26 17:23:17 -0400,2024-08-26 17:23:29 -0400,0:00:25
StatusQuo,Failure,21,4,2024-08-26 14:26:57 -0400,2024-08-26 15:34:07 -0400,0:00:00
ReturnTabColors,Success,1,0,2024-08-29 18:04:33 -0400,2024-08-29 18:04:33 -0400,0:00:00
WorkbookCommandsAndFunctions,Success,78,45,2024-08-28 13:58:50 -0400,2025-04-08 08:22:09 -0400,0:05:20
